15 Aralık 2025 Pazartesi,15:10-16:30,,,,,,,,,,,,
16 Aralık 2025 Salı,10:30-12:20,B,,,CD,,,,,,,,
16 Aralık 2025 Salı,13:30-15:20,C,A,,,,,,,,,,
16 Aralık 2025 Salı,15.30-17.20,,,,,,,,Öğrenme Uyg. Telafisi,,,,
17 Aralık 2025 Çarşamba,10:30-12:20,D,B,,GH,,,,,,,,
18 Aralık 2025 Perşembe,08:30-10:20,E,C,,AB,,,,,,,,
18 Aralık 2025 Perşembe,10:30-12:20,F,E,,GH,,,,,,,,
18 Aralık 2025 Perşembe,13.30-15.20,,,,,,,,PDÖ Telafi,,,,
19 Aralık 2025 Cuma,10:30-12:20,G,D,,AB,,,,,,,,
19 Aralık 2025 Cuma,14:00-15:50,H,G,,CD,,,,,,,,
22 Aralık 2025 Pazartesi,08:30-10:20,A,F,,,,B,,,,,,
22 Aralık 2025 Pazartesi,10:30-12:20,B,H,,EF,,D,,,,,,
22 Aralık 2025 Pazartesi,13.30-15.20,,,,,,,,PDÖ Telafi,,,,
23 Aralık 2025 Salı,10:30-12:20,C,,,GH,,E,B1,,,,,
23 Aralık 2025 Salı,13:30-15:20,D,,,,,F,,,,,,
24 Aralık 2025 Çarşamba,08:30-10:20,E,,,AB,,G,,,,,,
24 Aralık 2025 Çarşamba,10:30-12:20,F,,,CD,,,B2,,,,,
25 Aralık 2025 Perşembe,08:30-10:20,G,F,E,AB,,H,,,,,,
26 Aralık 2025 Cuma,10:30-12:20,H,A,B,CD,,,,,,,,
26 Aralık 2025 Cuma,14:00-15:50,A,G,C,EF,,,,,,,,
29 Aralık 2025 Pazartesi,08:30-10:20,B,C,D,EF,,,,,,,,
29 Aralık 2025 Pazartesi,13:30-15:20,C,B,A,GH,,,,,,,,
30 Aralık 2025 Salı,10:30-12:20,D,E,F,GH,,,,,,,,
30 Aralık 2025 Salı,13:30-15:20,E,D,H,AB,,,,,,,,
5 Ocak 2026 Pazartesi,08:30-10:20,G,,,,,,,,,,,
5 Ocak 2026 Pazartesi,15.10-17.00,F,H,G,CD,,,,,,,,
6 Ocak 2026 Salı,08.30-10.20,,,,,,,,Öğrenme-TELAFİ,,,,
6 Ocak 2026 Salı,10:30-12:20,H,,,EF,,,,,,,,
7 Ocak 2026 Çarşamba,13:30-15:20,,,TELAFİ,,,,TELAFİ,,,,,
9 Ocak 2026 Cuma,10.00-12.00,TELAFİ,,,,,,,,,,,
Uygulama Sayısı,,5,2,1,7,,,,,,,,
,,,,,,,,,,,,,
UYGULAMA KONU BAŞLIKLARI,,,,,,,,,,,,,
TIBBİ BİYOKİMYA AD.,,,,,,,,,,,,,
1. Elektron transportu,,,,,,,,,,,,,
,,,,,,,,,,,,,
TIBBİ BİYOLOJİ AD.,,,,,,,,,,,,,
1. Kan Hücreleri,,,,,,,,,,,,,
2. DNA izolasyonu,,,,,,,,,,,,,
3. Tanı Yöntemleri,,,,,,,,,,,,,
4. Mitoz-Mayoz Bölünme,,,,,,,,,,,,,
5. Kan grupları,,,,,,,,,,,,,
,,,,,,,,,,,,,
BİYOFİZİK AD.,,,,,,,,,,,,,
1.Hücre organelleri  ve alt yapılarının diferansiyel santrifüjü Sedimentasyon yöntemi ve Kanın alt yapılarının eldesi,,,,,,,,,,,,,
2.RIA (Radyo Bağışıklık Testi),,,,,,,,,,,,,
,,,,,,,,,,,,,
TIBBİ MİKROBİYOLOJİ AD.,,,,,,,,,,,,,
1.Mikrobiyoloji laboratuvarında tanı ve çalışma kuralları Mikroorganizmaların morfolojik incelenmesi Işık mikroskobu Lam-lamel arası preparasyon inceleme Basit boyama,,,,,,,,,,,,,
"2.Gram yöntemi ile boyanma Besiyerleri Besiyerlerine ekim yöntemleri Sterilizatörlerin çalışma prensipleri, demonstrasyonu ve sterilizatör kontrolü",,,,,,,,,,,,,
3.Bakteri kapsülünün incelenmesi Bakteri kirpiğinin ve hareketinin incelenmesi Bakteri sporlarının incelenmesi Dezenfeksiyon ve antisepsi uygulamaları,,,,,,,,,,,,,
4.Parazitlerin morfolojik incelenmesi,,,,,,,,,,,,,
"5.Virus izolasyon yöntemleri, virusların tanısında moleküler yöntemler.",,,,,,,,,,,,,
6.Serolojik testlerde prensipler.,,,,,,,,,,,,,
7.Mantarların morfolojik incelenmesi ,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"NOT: Dikey Koridor Beceri Uygulaması (Nabız, Kan Basıncı, Ateş, Ağırlık, Boy Ölçümü): Bu uygulamalardan önce ayrı bir bilgilendirme yapılmayacaktır.",,,,,,,,,,,,,
,,,,,,,,,,,,,
DOKU DİLİMİ,,,,,,,Dikey Koridor ,,,,,,
Uygulama Tarihi,Saati,Tıbbi Biyoloji,Biyofizik,Fizyoloji,Genel Histoloji Ve Embriyoloji,PDÖ,"Enjeksiyon
(Prof.Dr. Zeynep 
SOLAKOĞLU)","Münazara
(Prof.Dr. Zeynep 
SOLAKOĞLU)","Dikiş Düğüm
(Prof.Dr. Zeynep SOLAKOĞLU)",,,,
20 Şubat 2026 Cuma,13.20-15.20,,,,,,,"A,C,D,E",,,,,
24 Şubat 2026 Salı,10:30-12:20,A,,,,,,"B,F,G,H",,,,,
27 Şubat 2026 Cuma,10:30-12:20,B,A,,,,,,,,,,
2 Mart 2026 Pazartesi,08:30-10:20,C,B,,,,,,,,,,
2 Mart 2026 Pazartesi,10:30-12:20,D,C,,B,,,,,,,,
3 Mart 2026 Salı,10:30-12:20,E,D,,C,,,,,,,,
5 Mart 2026 Perşembe,10:30-12:20,F,E,,D,,,,,,,,
5 Mart 2026 Perşembe,13:30-15:20,G,F,,E,,,,,,,,
6 Mart 2026 Cuma,10:30-12:20,H,G,,F,,,,,,,,
10 Mart 2026 Salı,08:30-10:20,A,H,,,,,,,,,,
10 Mart 2026 Salı,13:30-15:20,B,A,,G,,,,,,,,
11 Mart 2026 Çarşamba,10:30-12:20,C,B,,,,,,,,,,
12 Mart 2026 Perşembe,10:30-12:20,D,C,,,,,,,,,,
13 Mart 2026 Cuma,10:30-12:20,E,D,,A,,,,,,,,
16 Mart 2026 Pazartesi,10:30-12:20,F,E,,H,,A,,,,,,
17 Mart 2026 Salı,10:30-12:20,G,F,,,,C,,,,,,
18 Mart 2026 Çarşamba,10:30-12:20,H,G,,,,,,,,,,
23 Mart 2026 Pazartesi,10:30-12:20,A,H,,,,D,,,,,,
