Dönem,TARİH,Başlama Saati,Bitiş Saati,KONU,DİLİM ADI / ANABİLİM DALI,YER,,,,,,
Dönem 1,7 Ekim 2025 Salı,15:30,16:10,SERBEST ÇALIŞMA,,,,,,,,
Dönem 1,8 Ekim 2025 Çarşamba,08:30,09:10,"1-Sterilizasyon, Dezenfeksiyon, Asepsi, Antisepsi kavramları ve sağlanması için kullanılan yöntemler / Prof. Dr. Yaşar NAKİPOĞLU (Doç. Dr. Gonca Erköse GENÇ)",TIBBA MERHABA DİLİMİ / TIBBİ MİKROBİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,8 Ekim 2025 Çarşamba,09:20,10:00,2-Hastane Enfeksiyonlarını Önlemeye Giriş / Prof. Dr. Yaşar NAKİPOĞLU (Doç. Dr. Gonca ErköseGENÇ),TIBBA MERHABA DİLİMİ / TIBBİ MİKROBİYOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,8 Ekim 2025 Çarşamba,10:10,10:50,7-Hekim Hakları ve Sorumlulukları / Prof. Dr. Fatma Arın NAMAL (Prof. Dr. İlhan İLKILIÇ),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,8 Ekim 2025 Çarşamba,11:00,11:40,8- Hekim Hasta-İlişkisinin Etik Esasları /  Prof. Dr. Fatma Arın NAMAL (Prof. Dr. İlhan İLKILIÇ),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,8 Ekim 2025 Çarşamba,11:50,12:30,4-Kırık - çıkık - burkulmalarda ilkyardım / Prof. Dr. Turgut AKGÜL (Dr.Öğr. Üyesi Murat Korkmaz),TIBBA MERHABA DİLİMİ / ORTOPEDİ VE TRAVMATOLOJİ AD.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,8 Ekim 2025 Çarşamba,13:30,14:10,Seçmeli Dersler - 2,,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI SEÇMELİ DERS AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,8 Ekim 2025 Çarşamba,14:20,15:00,Seçmeli Dersler - 2,,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI SEÇMELİ DERS AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,8 Ekim 2025 Çarşamba,15:10,15:50,Seçmeli Dersler - 2,,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI SEÇMELİ DERS AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,9 Ekim 2025 Perşembe,08:30,09:10,9-Hasta Mahremiyetine ve Hasta Sırrına Saygı / Prof. Dr. Fatma Arın NAMAL (Prof. Dr. İlhan İLKILIÇ),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,9 Ekim 2025 Perşembe,09:20,10:00,10- İnsan Bedeni ve Etik / Prof. Dr. Fatma Arın NAMAL (Prof. Dr. İlhan İLKILIÇ),TIBBA MERHABA DİLİMİ / TIP TARİHİ VE ETİK A.D.,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI AMFİ PROGRAMINA BAKINIZ,,,,,,
Dönem 1,9 Ekim 2025 Perşembe,10:30,12:20,UYGULAMA,TIBBA MERHABA DİLİMİ,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,9 Ekim 2025 Perşembe,13:30,15:20,UYGULAMA,TIBBA MERHABA DİLİMİ,FAKÜLTEMİZ WEB SİTESİ ÖĞRENCİ AĞI DÖNEM 1 UYGULAMA PROGRAMINA BAKINIZ,,,,,,
Dönem 1,9 Ekim 2025 Perşembe,15:30,16:10,SERBEST ÇALIŞMA,,,,,,,,
